TimestampKST,GNSSTime,Latitude,Longitude,FixType,HPE(m),NorthingError(m),EastingError(m),MessageRate(Hz)
2025-07-05 22:48:24.238433+09:00,13:48:24.720000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.259714+09:00,13:48:24.760000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.293956+09:00,13:48:24.790000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.326837+09:00,13:48:24.820000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.367224+09:00,13:48:24.860000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.414880+09:00,13:48:24.890000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.423018+09:00,13:48:24.920000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.465102+09:00,13:48:24.960000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.507432+09:00,13:48:24.990000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.527755+09:00,13:48:25.020000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.568368+09:00,13:48:25.050000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.594158+09:00,13:48:25.090000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.626386+09:00,13:48:25.120000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.673633+09:00,13:48:25.150000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.756396+09:00,13:48:25.190000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.760392+09:00,13:48:25.220000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.767930+09:00,13:48:25.250000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.82,5380678.35,31
2025-07-05 22:48:24.797109+09:00,13:48:25.290000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:24.832587+09:00,13:48:25.320000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:24.874571+09:00,13:48:25.350000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:24.895090+09:00,13:48:25.380000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
